Datum	A	B	F	G	S	T	V
2011-12-07		Straßenverkehr|Europäische Union|Straßenverkehr|Gesundheit|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Sekundarstufe|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Tiermedizin|Tierschutz|Europäische Union|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Öffentlicher Sektor|öffentliches Eigentum|soziale Sicherheit|Verfassung|Verwaltungsreform|Handel|Industrie|Unternehmen und Wettbewerb	Steuerwesen|ausländischer Staatsangehöriger|Frau|Gleichbehandlung|Verteidigung|Kulturpolitik|Kunst|Museum|Bildung|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Organisation des Unterrichtswesens|junger Mensch|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|öffentliche Sicherheit|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Versicherungswesen|Einkommen|Finanzwesen|Öffentlicher Sektor|Versicherungswesen|Verwaltung und Entlohnung des Personals|Bergbau|Steuerwesen	Schienentransport|Kulturpolitik|Kunst|Arbeitsrecht|Familie	Bildung|Organisation des Unterrichtswesens|Menschenrechte|Presse|Fernsehen|Hörfunk|Menschenrechte|Vereinte Nationen|Sekundarstufe|Menschenrechte|Föderalismus|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik		Bildung|Organisation des Unterrichtswesens|Menschenrechte|Presse|Fernsehen|Hörfunk|Menschenrechte|Vereinte Nationen|Sekundarstufe|Menschenrechte|Föderalismus|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik
2011-12-14			Handel|Industrie|Unternehmen und Wettbewerb		ethnische Gruppe|Menschenrechte|öffentliche Sicherheit		ethnische Gruppe|Menschenrechte|öffentliche Sicherheit
2012-01-18		Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Elektrizitäts- und Kernkraftindustrie|ethnische Gruppe	Ausweis|Trentino-Südtirol|Verfassung	Fernsehen|Hörfunk|Parlamentsdebatte|Elektrizitäts- und Kernkraftindustrie|Europäische Union	Arbeitsrecht|Zivildienst		Arbeitsrecht|Zivildienst
2012-01-19		Fernsehen|Hörfunk|öffentliche Sicherheit|Finanzwesen|Sekundarstufe	soziale Sicherheit|Familienleistungsausgleich|Land- und Forstwirtschaft, Fischerei|Behinderter|Öffentliche Finanzen und Haushaltspolitik|Beschäftigung und Arbeitsbedingungen|junger Mensch|Sozialpolitik|Sekundarstufe	Hochschulausbildung|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gesundheit|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Primarstufe|Sekundarstufe	öffentliche Verwaltung|öffentlicher Dienst|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Sekundarstufe		öffentliche Verwaltung|öffentlicher Dienst|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Sekundarstufe
2012-02-02				Europäische Union|partizipative Demokratie	Europäische Union|partizipative Demokratie|Informatik|Information und Informationsverarbeitung		Europäische Union|partizipative Demokratie|Informatik|Information und Informationsverarbeitung
2012-02-23		Politische Partei	öffentliche Verwaltung|öffentlicher Dienst|Verwaltungsorganisation|Elektrizitäts- und Kernkraftindustrie|Sport|Preis|Presse|Sekundarstufe|Bauindustrie und öffentliches Bauwesen|Baupolitik|öffentliche Sicherheit|öffentliche Sicherheit|Finanzwesen|namentliche Abstimmung|Versicherungswesen|Exekutive	Umwelt|direkt gewählte Kammer|Bergbau|Energie|Kulturpolitik|Kunst			
2012-02-29		Sport|Behinderter|Bürgerliches Recht|Elektrizitäts- und Kernkraftindustrie|Parlamentsdebatte|Preis|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei	Währungsbeziehungen|Öffentlicher Sektor|Post- und Fernmeldewesen|Hochschulausbildung|Finanzausgleich|Finanzwesen|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Preis|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Versicherungswesen|Elektrizitäts- und Kernkraftindustrie|Steuerwesen|Exekutive|partizipative Demokratie|Finanzwesen|Preis|Steuerwesen|Bürgerliches Recht|Finanzwesen	Familienleistungsausgleich|Handel|Industrie|Internationale Beziehungen|Unternehmen und Wettbewerb|Post- und Fernmeldewesen|Menschenrechte|ehrende Auszeichnung|Internationale Beziehungen|junger Mensch|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Familienleistungsausgleich|Notar|öffentliche Sicherheit|Rechtsanwalt|Strafrecht	Menschenrechte|Internationale Beziehungen		Menschenrechte|Internationale Beziehungen
2012-03-08		Tourismus|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|öffentliche Verwaltung|öffentlicher Dienst|Informatik|Information und Informationsverarbeitung|Tourismus|Wohnungspolitik|Arbeitsrecht|Familie|Exekutive|Misstrauensantrag	Versicherungswesen|Tourismus|Bildung|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|Tourismus|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Steuerwesen|Bildung|Organisation des Unterrichtswesens|Sport|öffentliche Sicherheit|Umwelt|öffentliche Verwaltung|öffentlicher Dienst|Sekundarstufe|ethnische Gruppe|Gerichtswesen|Gliedstaat|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung	Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Tourismus|Bildung|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|Tourismus	Tourismus|Exekutive|Buchprüfung|Informatik|Information und Informationsverarbeitung|Tourismus|direkt gewählte Kammer|Verfassung|Zweite Kammer		Tourismus|Exekutive|Buchprüfung|Informatik|Information und Informationsverarbeitung|Tourismus|direkt gewählte Kammer|Verfassung|Zweite Kammer
2012-03-28	Geschäftsordnung des Parlaments|namentliche Abstimmung|Steuerwesen	Umwelt|Gesetzgebungsverfahren|Verfassung|Museum|Exekutive	Beschäftigung und Arbeitsbedingungen|Finanzwesen|Gerichtswesen|Gliedstaat|Sozialpolitik|soziale Sicherheit|Finanzwesen|Forschung und geistiges Eigentum|Wissenschaften|Bürgerliches Recht|Finanzwesen|Museum|Exekutive|Steuerwesen|Verkehr	Einkommen|Frau|Gleichbehandlung|Verwaltung und Entlohnung des Personals|Forschung und geistiges Eigentum|Wissenschaften|Bildung|Organisation des Unterrichtswesens|Sport|Ausbildungsbeihilfe|Gesundheit|Zivildienst|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Exekutive|Gesundheit|Gliedstaat|Verfassung	namentliche Abstimmung		namentliche Abstimmung
2012-03-29		Politik der Zusammenarbeit|ausländischer Staatsangehöriger|Frau|Gleichbehandlung|Opferhilfe|Wohnungspolitik|ethnische Gruppe|Verfassung|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Trentino-Südtirol|Sekundarstufe|Umwelt|Darstellende Künste|Kulturpolitik|Kunst|junger Mensch|öffentliche Sicherheit|Post- und Fernmeldewesen	Familie|Familie|Trentino-Südtirol|Gesundheit|Statistik|Darstellende Künste|Internationale Beziehungen|Menschenrechte	Politik der Zusammenarbeit|Bürgerliches Recht|Filmindustrie|Sekundarstufe|Bildung|Organisation des Unterrichtswesens	Politik der Zusammenarbeit|Sekundarstufe|Internationale Beziehungen|Menschenrechte|Vereinte Nationen		Politik der Zusammenarbeit|Sekundarstufe|Internationale Beziehungen|Menschenrechte|Vereinte Nationen
2012-04-10			öffentliche Verwaltung|öffentlicher Dienst		Arbeitsrecht		Arbeitsrecht
2012-04-19		Umwelt|Währungsbeziehungen|Umwelt|Geodäsie|Land- und Forstwirtschaft, Fischerei|Hochschulausbildung|Gesundheit|Parlamentsdebatte|Preis|Gesundheit|Apotheke|Ausweis|diplomatische Beziehungen|Hochschulausbildung|Straßenverkehr	Sekundarstufe|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Arbeitsrecht|Hochschulausbildung|namentliche Abstimmung|Gesundheit|soziale Sicherheit	Informatik|Information und Informationsverarbeitung|Frau|Gleichbehandlung|soziale Sicherheit|Europarat|Apotheke|Arbeitsrecht|Einkommen|Frau|Gleichbehandlung|partizipative Demokratie|soziale Sicherheit|Sozialpolitik|Verwaltung und Entlohnung des Personals			Apotheke
2012-05-02		Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verteidigung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verteidigung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	Hochschulausbildung|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsrecht|Notar|Rechtsanwalt|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	Hochschulausbildung|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verteidigung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsrecht|Notar|Rechtsanwalt|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit		Hochschulausbildung|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verteidigung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsrecht|Notar|Rechtsanwalt|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit
2012-05-15		ethnische Gruppe|Verfassung|Land- und Forstwirtschaft, Fischerei|Umwelt|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsorganisation	Steuerwesen|Tourismus|Abfall|Abfallwirtschaft|Gesundheit|Behinderter|soziale Sicherheit|Energie|Finanzwesen|Arbeitsrecht|Familie|Umwelt|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsorganisation	Arbeitsrecht|Einkommen|Gesetzgebungsverfahren|Verwaltung und Entlohnung des Personals|Parlamentsdebatte|Politische Partei|Internationale Beziehungen|Wahl|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Verkehr|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsorganisation	Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsorganisation		Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verwaltungsorganisation
2012-05-16		direkt gewählte Kammer|Gliedstaat|Parlamentsdebatte|partizipative Demokratie|Staatschef|Verfassung|Wahl|Gerichtswesen|Umwelt|Gesundheit|Bergbau|Energie|Umwelt|Ausweis|Strafrecht|Verwaltungsrecht|direkt gewählte Kammer|Gliedstaat|partizipative Demokratie|Staatschef|Verfassung|Wahl|Europäische Union|Öffentliche Finanzen und Haushaltspolitik	Familie|soziale Sicherheit|Energie|Finanzwesen|Gesundheit|Ausweis|Straßenverkehr|direkt gewählte Kammer|Öffentliche Finanzen und Haushaltspolitik|Sekundarstufe	Handel|Industrie|Unternehmen und Wettbewerb|Behinderter|Gesundheit|Gesundheit|Strafrecht|Staatsangehöriger|Hochschulausbildung|Behinderter|Gesundheit	Beschäftigung und Arbeitsbedingungen|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|ethnische Gruppe|Religion|Strafrecht|Menschenrechte|Vereinte Nationen		Beschäftigung und Arbeitsbedingungen|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|ethnische Gruppe|Religion|Strafrecht|Menschenrechte|Vereinte Nationen
2012-05-30		Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei		Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei
2012-06-13		Ausbildungsbeihilfe|Informatik|Information und Informationsverarbeitung|Steuerwesen|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gliedstaat|Raumordnung	Währungsbeziehungen|Forschung und geistiges Eigentum|Währungsbeziehungen|Wissenschaften|soziale Sicherheit|Schienentransport|Währungsbeziehungen|Steuerwesen|Wohnungspolitik|Europäische Union|Währungsbeziehungen|Frau|Gleichbehandlung|Raumordnung|Steuerwesen	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|namentliche Abstimmung|Arbeitsrecht|Umwelt|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Elektrizitäts- und Kernkraftindustrie|partizipative Demokratie|Bürgerliches Recht|Arbeitsrecht|Verteidigung|Internationale Beziehungen|Hochschulausbildung|Wohnungspolitik|Umwelt|Frau|Gleichbehandlung|Hochschulausbildung|diplomatische Beziehungen|Menschenrechte|soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Verfassung|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Verfassung|namentliche Abstimmung|Verfassung|Vereinsleben|Versammlungsfreiheit|Verteidigung	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|namentliche Abstimmung|Internationale Beziehungen|soziale Sicherheit|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|namentliche Abstimmung|Verfassung|Hochschulausbildung		Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|namentliche Abstimmung|Internationale Beziehungen|soziale Sicherheit|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|namentliche Abstimmung|Verfassung|Hochschulausbildung
2012-06-14		Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Primarstufe|Luftverkehr|Familie|Hochschulausbildung|Filmindustrie|Bildung|Organisation des Unterrichtswesens	Sozialpolitik|Internationale Beziehungen|Versicherungswesen|Sozialpolitik|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens	Forschung und geistiges Eigentum|Wissenschaften|Internationale Beziehungen|Flüchtling|Menschenrechte|Forschung und geistiges Eigentum|Wissenschaften|Forschung und geistiges Eigentum|Steuerwesen|Wissenschaften|Hochschulausbildung|Familie|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bergbau	Internationale Beziehungen|Menschenrechte|Gerichtswesen|Menschenrechte|Menschenrechte|öffentliche Sicherheit|Hochschulausbildung|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens		Internationale Beziehungen|Menschenrechte|Gerichtswesen|Menschenrechte|Menschenrechte|öffentliche Sicherheit|Hochschulausbildung|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens
2012-06-21		Strafrecht		Strafrecht	Strafrecht		Strafrecht
2012-06-27		Trentino-Südtirol|Verfassung|Tiermedizin|Tierschutz	Währungsbeziehungen|Schienentransport|Öffentliche Finanzen und Haushaltspolitik|Wasserbau	öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Strafrecht|Straßenverkehr			
2012-06-28					Bildung|Organisation des Unterrichtswesens		Bildung|Organisation des Unterrichtswesens
2012-07-02				Europäische Union|Währungsbeziehungen	Europäische Union|Währungsbeziehungen		Europäische Union|Währungsbeziehungen
2012-07-03					ausländischer Staatsangehöriger|Europäische Union|öffentliche Verwaltung|öffentlicher Dienst|Opferhilfe|Staatsangehöriger		ausländischer Staatsangehöriger|Europäische Union|öffentliche Verwaltung|öffentlicher Dienst|Opferhilfe|Staatsangehöriger
2012-07-04		Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|soziale Sicherheit|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Europäische Union|Exekutive|Finanzwesen|Misstrauensantrag|Währungsbeziehungen	Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Elektrizitäts- und Kernkraftindustrie|Europäische Union|namentliche Abstimmung|soziale Sicherheit|Europäische Union|Exekutive|Finanzwesen|Misstrauensantrag|Währungsbeziehungen|namentliche Abstimmung|völkerrechtliche Verantwortlichkeit	Gesundheit|junger Mensch|Bildung|Organisation des Unterrichtswesens|partizipative Demokratie|Hochschulausbildung|partizipative Demokratie|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Internationale Beziehungen|Menschenrechte|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Bildung|Organisation des Unterrichtswesens|partizipative Demokratie|Bildung|Organisation des Unterrichtswesens|partizipative Demokratie|Primarstufe|Europäische Union|Finanzwesen|Währungsbeziehungen|Behinderter|Finanzwesen	Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Europäische Union|Finanzwesen|Währungsbeziehungen|Finanzwesen|Europäische Union|Finanzwesen|Steuerwesen		Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Europäische Union|Finanzwesen|Währungsbeziehungen|Finanzwesen|Europäische Union|Finanzwesen|Steuerwesen
2012-07-05		junger Mensch|öffentliche Sicherheit|Post- und Fernmeldewesen|Hochschulausbildung|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|junger Mensch|öffentliche Sicherheit|Post- und Fernmeldewesen|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Familie|Arbeitsrecht|Familie|Ausbildungsbeihilfe|Hochschulausbildung|Handel|Industrie|Unternehmen und Wettbewerb	Hochschulausbildung|Hochschulausbildung|Beschäftigung und Arbeitsbedingungen|Familie|Familie|Kulturpolitik|Kunst|Steuerwesen|ausländischer Staatsangehöriger|Flüchtling|Hochschulausbildung|namentliche Abstimmung	Europäische Union|Land- und Forstwirtschaft, Fischerei			
2012-07-06		Familienleistungsausgleich|junger Mensch|Verkehr|direkt gewählte Kammer|Strafrecht|Elektrizitäts- und Kernkraftindustrie	direkt gewählte Kammer|Luftverkehr|Verteidigung|Informatik|Information und Informationsverarbeitung|Tiermedizin|Tierschutz|Elektrizitäts- und Kernkraftindustrie	direkt gewählte Kammer|Preis|Schienentransport|Elektrizitäts- und Kernkraftindustrie	direkt gewählte Kammer|Elektrizitäts- und Kernkraftindustrie		direkt gewählte Kammer|Elektrizitäts- und Kernkraftindustrie
2012-09-19		Strafrecht|Verfassung|Preis|öffentliche Verwaltung|öffentlicher Dienst|Gesetzgebungsverfahren|Staatschef|Verfassung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Internationale Beziehungen|Menschenrechte	soziale Sicherheit|Finanzwesen|Land- und Forstwirtschaft, Fischerei|Preis|Ausbildungsbeihilfe|Gesetzgebungsverfahren|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Europäische Union|Finanzwesen|Völkerrecht|Währungsbeziehungen	Behinderter|Vereinte Nationen|Arbeitsrecht|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|diplomatische Beziehungen|Finanzwesen|Land- und Forstwirtschaft, Fischerei|Preis|Exekutive|Geschäftsordnung des Parlaments|Haushaltskontrolle|Presse|Wahl|Finanzwesen|Internationale Beziehungen|Menschenrechte	soziale Sicherheit|Internationale Beziehungen|Menschenrechte		soziale Sicherheit|Internationale Beziehungen|Menschenrechte
2012-10-05		Finanzwesen|Parlamentsdebatte|Steuerwesen|Steuerwesen	Beschäftigung und Arbeitsbedingungen|Geschäftsordnung des Parlaments|Haushaltskontrolle|Vereinsleben|Versammlungsfreiheit|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Bildung|Organisation des Unterrichtswesens|Verfassung|Bürgerliches Recht|Familie|Europäische Union|Finanzwesen	Geschäftsordnung des Parlaments|partizipative Demokratie|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Straßenverkehr		Straßenverkehr
2012-10-11			Behinderter	Behinderter	Behinderter		Behinderter
2012-10-15		direkt gewählte Kammer|Geschäftsordnung des Parlaments|Verfassung	Straßenverkehr				
2012-10-16		Gesundheit|soziale Sicherheit|Tiermedizin|Tierschutz|Gesundheit|soziale Sicherheit|Exekutive|partizipative Demokratie|Verteidigung	Elektrizitäts- und Kernkraftindustrie|soziale Sicherheit	Arbeitsrecht|Bürgerliches Recht|Gesetzgebungsverfahren|soziale Sicherheit|Gesundheit|Bürgerliches Recht|Arbeitsrecht	Steuerwesen		Steuerwesen
2012-10-17		Elektrizitätsindustrie|ethnische Gruppe|ethnische Gruppe	Elektrizitätsindustrie|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren	Elektrizitätsindustrie	Wahl|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren		Wahl|direkt gewählte Kammer|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren
2012-10-30			Behinderter|Bürgerliches Recht|junger Mensch|ausländischer Staatsangehöriger|Flüchtling				
2012-11-08		direkt gewählte Kammer|Einkommen|Gesetzgebungsverfahren|Verfassung|Verwaltung und Entlohnung des Personals|Finanzwesen|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals	direkt gewählte Kammer|Einkommen|Politische Partei|Verwaltung und Entlohnung des Personals	öffentliche Verwaltung|öffentlicher Dienst|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht			
2012-11-13		Apotheke|Gesundheit		Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Primarstufe|Primarstufe|Sekundarstufe	Steuerwesen|Tabak|Land- und Forstwirtschaft, Fischerei|Steuerwesen		Steuerwesen|Tabak|Land- und Forstwirtschaft, Fischerei|Steuerwesen
2012-11-14		Steuerwesen|Bildung|Geschäftsordnung des Parlaments|Organisation des Unterrichtswesens|Sport|Strafrecht|Politik der Zusammenarbeit|Europäische Union	Flüchtling|ausländischer Staatsangehöriger|Flüchtling|Verwaltungskontrolle|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Flüchtling|Verteidigung|Behinderter|Sport|Internationale Beziehungen|öffentliche Sicherheit|Exekutive|Misstrauensantrag|Verteidigung|Frau|Gleichbehandlung|Trentino-Südtirol|Haushaltskontrolle|Presse|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Wissenschaften	Arbeitsrecht|Arbeitsrecht|Tourismus|Arbeitsrecht|Tourismus|Tourismus|Internationale Beziehungen|Tourismus|Gesetzgebungsverfahren|öffentliche Sicherheit|Behinderter|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Menschenrechte|Politik der Zusammenarbeit|Zivildienst|Strafrecht|Verteidigung	Politik der Zusammenarbeit	öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Politik der Zusammenarbeit|Politische Partei|Behinderter|Glücksspiel|Sport|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst	Politik der Zusammenarbeit
2012-11-15		Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Wissenschaften|Elektrizitäts- und Kernkraftindustrie|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Sport|Gesundheit	Beschäftigung und Arbeitsbedingungen|junger Mensch|Bildung|Organisation des Unterrichtswesens|Sport|Ausbildungsbeihilfe|Hochschulausbildung|Behinderter|Steuerwesen|soziale Sicherheit|Behinderter|Sekundarstufe|soziale Sicherheit|Steuerwesen|Familienleistungsausgleich|Behinderter|Gesundheit|Bildung|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|Kulturpolitik|Kunst	Bergbau|Energie|Bildung|Organisation des Unterrichtswesens|Sport	Opferhilfe|völkerrechtliche Verantwortlichkeit|Bildung|Organisation des Unterrichtswesens|Sport	Bildung|Organisation des Unterrichtswesens|Sport|soziale Sicherheit	Opferhilfe|völkerrechtliche Verantwortlichkeit|Bildung|Organisation des Unterrichtswesens|Sport
2012-11-16		Apotheke|Gesundheit|Familie|Gesundheit|Familie|Apotheke|Gesundheit|Steuerwesen|Verfassung|Steuerwesen|Familie|Steuerwesen|Arbeitsrecht|Steuerwesen|Verfassung|Land- und Forstwirtschaft, Fischerei|Gliedstaat	Tourismus|Verkehr|Forschung und geistiges Eigentum|Wissenschaften|Schienentransport|Familie|Steuerwesen|Schienentransport|Familie|Familienleistungsausgleich|Haushaltsplan|Familienleistungsausgleich|Gliedstaat|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|Beschäftigung und Arbeitsbedingungen|junger Mensch|Steuerwesen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst	Finanzwesen|Bürgerliches Recht|Finanzwesen|Forschung und geistiges Eigentum|Wissenschaften|Schienentransport	Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals		Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals
2012-11-28				Bürgerliches Recht	Informatik|Information und Informationsverarbeitung|Bürgerliches Recht		Informatik|Information und Informationsverarbeitung|Bürgerliches Recht
2012-12-05		Bürgerliches Recht|Familie	Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Steuerwesen|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|Behinderter|Sport|Land- und Forstwirtschaft, Fischerei|Wohnungspolitik|Steuerwesen	Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Wasserbewirtschaftung|Umwelt|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Flüchtling|Föderalismus|Arbeitsrecht	Museum	Beschäftigung und Arbeitsbedingungen|Energie|Preis|Sozialpolitik	Museum
