Datum	A	F	G	N	S	T	V
2017-04-27		Flüchtling|Öffentliche Finanzen und Haushaltspolitik|Bildung|Familie|Organisation des Unterrichtswesens|Steuerwesen|Umwelt|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Straßenverkehr	Hochschulausbildung|Hochschulausbildung|Internationale Beziehungen|Menschenrechte		Handel|Industrie|Unternehmen und Wettbewerb	Energie|Straßenverkehr|Elektrizitätsindustrie|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Straßenverkehr	Handel|Industrie|Unternehmen und Wettbewerb
2017-05-03			Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei
2017-05-09					Tiermedizin|Tierschutz|Umwelt		Tiermedizin|Tierschutz|Umwelt
2017-05-16		Opferhilfe|Verfassung|Sekundarstufe|Sekundarstufe|Sekundarstufe|Land- und Forstwirtschaft, Fischerei|ausländischer Staatsangehöriger|Europäische Union|Exekutive|Familienleistungsausgleich|Flüchtling|Frau|Gleichbehandlung|Exekutive|Misstrauensantrag|namentliche Abstimmung|Frau|Gleichbehandlung|Straßenverkehr	Behinderter|Behinderter|Handel|Industrie|Unternehmen und Wettbewerb|Behinderter|Vereinte Nationen|Opferhilfe|Verfassung|Behinderter|Behinderter|Familienleistungsausgleich|Behinderter|Behinderter|Familienleistungsausgleich|Staatsangehöriger|Umwelt|Exekutive|Misstrauensantrag|namentliche Abstimmung|Beschäftigung und Arbeitsbedingungen|Flüchtling|junger Mensch|Bauindustrie und öffentliches Bauwesen|Baupolitik|Raumordnung|Umwelt	Opferhilfe|Verfassung|Hochschulausbildung|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit	Opferhilfe|Verfassung	Straßenverkehr|Opferhilfe|Verfassung|Straßenverkehr	Opferhilfe|Verfassung
2017-05-17		Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Schienentransport|Land- und Forstwirtschaft, Fischerei|direkt gewählte Kammer|Straßenverkehr|Elektrizitätsindustrie|Umwelt	Gerichtswesen|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|soziale Sicherheit|direkt gewählte Kammer|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Handel|Industrie|Unternehmen und Wettbewerb|Elektrizitätsindustrie|Steuerwesen	Land- und Forstwirtschaft, Fischerei|direkt gewählte Kammer	Verfassung|Beschäftigung und Arbeitsbedingungen|Ausbildungsbeihilfe|Behinderter|direkt gewählte Kammer|Menschenrechte|Steuerwesen	Land- und Forstwirtschaft, Fischerei|direkt gewählte Kammer|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Verwaltungsreform	Verfassung|Beschäftigung und Arbeitsbedingungen|Ausbildungsbeihilfe|Behinderter|direkt gewählte Kammer|Menschenrechte|Steuerwesen
2017-05-18		Geschäftsordnung des Parlaments	Geschäftsordnung des Parlaments				
2017-06-07		Behinderter|soziale Sicherheit|Sekundarstufe|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Sicherheit|Religion|Behinderter|Fernsehen|Hörfunk|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Ausbildungsbeihilfe|Steuerwesen|Tourismus|Straßenverkehr|Frau|Gleichbehandlung|öffentliche Sicherheit|Religion|Frau|Gesundheit|Gleichbehandlung|Statistik|Hochschulausbildung|Steuerwesen|Tourismus	ausländischer Staatsangehöriger|Flüchtling|Flüchtling|Frau|Gleichbehandlung|Umwelt|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Wahl|Bürgerliches Recht|Einkommen|Verwaltung und Entlohnung des Personals|Umwelt|soziale Sicherheit|Arbeitsrecht|Behinderter|Post- und Fernmeldewesen|Arbeitsrecht|Gewerbeaufsicht|Arbeitsrecht|Behinderter|Post- und Fernmeldewesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|partizipative Demokratie|Steuerwesen|Wirtschaft|soziale Sicherheit|Fernsehen|Hörfunk|Haushaltsplan|Bürgerliches Recht|ausländischer Staatsangehöriger|Flüchtling|Behinderter|Bürgerliches Recht|direkt gewählte Kammer|Exekutive|Steuerwesen|Tourismus|Flüchtling|Frau|Gleichbehandlung|Tourismus|Behinderter|Fernsehen|Hörfunk|ausländischer Staatsangehöriger|Flüchtling|Tourismus|Steuerwesen|Tourismus	Familie|Energie|Umwelt|Umwelt|soziale Sicherheit|Strafrecht|Strafrecht|Straßenverkehr|Gliedstaat|Umwelt|Bildung|Organisation des Unterrichtswesens|Gerichtswesen|Verfassung|Energie|Umwelt|Energie|Umwelt|Straßenverkehr|Bildung|Organisation des Unterrichtswesens|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|partizipative Demokratie|Steuerwesen|Umwelt|Bauindustrie und öffentliches Bauwesen|Baupolitik|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Bauindustrie und öffentliches Bauwesen|Baupolitik|soziale Sicherheit	Hochschulausbildung|Arbeitsrecht|Verwaltungsreform|Bürgerliches Recht|Steuerwesen|Sport|Arbeitsrecht|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte|Steuerwesen|Straßenverkehr|Steuerwesen|Tabak|Verwaltungsrecht|Bürgerliches Recht|Apotheke|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|See- und Binnenschiffsverkehr|Wasser|Wasserbewirtschaftung|Verfassung|Steuerwesen|Gesundheit	Verwaltungsreform|Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Familie|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Europäische Union|Flüchtling|Familie|soziale Sicherheit	Hochschulausbildung|Arbeitsrecht|Verwaltungsreform|Bürgerliches Recht|Steuerwesen|Sport|Arbeitsrecht|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte|Steuerwesen|Straßenverkehr|Steuerwesen|Tabak|Verwaltungsrecht|Bürgerliches Recht|Apotheke|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|See- und Binnenschiffsverkehr|Wasser|Wasserbewirtschaftung|Verfassung|Steuerwesen|Gesundheit
2017-06-13		Handel|Industrie|Unternehmen und Wettbewerb	Handel|Industrie|Unternehmen und Wettbewerb		Handel|Industrie|Unternehmen und Wettbewerb	Handel|Industrie|Unternehmen und Wettbewerb	Handel|Industrie|Unternehmen und Wettbewerb
2017-06-19	Gesundheit	Gesundheit|soziale Sicherheit|soziale Sicherheit|junger Mensch|Strafrecht|Bildung|Organisation des Unterrichtswesens|Sekundarstufe	Bildung|namentliche Abstimmung|Organisation des Unterrichtswesens|Verfassung	Bildung|Organisation des Unterrichtswesens|Parlamentsdebatte	Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Umwelt|Bildung|namentliche Abstimmung|Organisation des Unterrichtswesens|Verfassung	Bildung|Organisation des Unterrichtswesens|Politische Partei	Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Umwelt|Bildung|namentliche Abstimmung|Organisation des Unterrichtswesens|Verfassung
2017-06-20		Elektrizitäts- und Kernkraftindustrie			Elektrizitäts- und Kernkraftindustrie		Elektrizitäts- und Kernkraftindustrie
2017-06-28		Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Tourismus|soziale Sicherheit|Sekundarstufe|junger Mensch|Personenstand|Statistik|Strafrecht|ausländischer Staatsangehöriger|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Gesundheit|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Religion	Bauindustrie und öffentliches Bauwesen|Baupolitik|Raumordnung|Umwelt|Opferhilfe|Sozialpolitik|Politik der Zusammenarbeit|Gesundheit	Schienentransport|Schienentransport|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung		Europäische Union|Flüchtling|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens	
2017-06-29		Opferhilfe|Straßenverkehr|Tabak|Finanzwesen|Verfassung|Währungsbeziehungen|Ausweis|Informatik|Information und Informationsverarbeitung|Verwaltungsreform|soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltungskontrolle	soziale Sicherheit|Opferhilfe|Raumordnung|Verfassung|Wohnungspolitik|Beschäftigung und Arbeitsbedingungen|Wirtschaft|Luftverkehr|Luftverkehr|Steuerwesen	Opferhilfe|Bildung|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|Gesundheit|Informatik|Information und Informationsverarbeitung|Verwaltungsreform|Gesundheit|soziale Sicherheit	Wohnungspolitik|Wohnungspolitik|Opferhilfe|Tabak|Informatik|Information und Informationsverarbeitung|Verwaltungsreform	Opferhilfe|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltungsreform	Wohnungspolitik|Opferhilfe|Tabak|Informatik|Information und Informationsverarbeitung|Verwaltungsreform
2017-07-13		Familienleistungsausgleich|Elektrizitätsindustrie	Haushaltskontrolle|Verfassung|Sekundarstufe|Internationale Beziehungen|Menschenrechte|Religion|Verfassung|Verfassung	Haushaltskontrolle|Verfassung|Verfassung	Steuerwesen	Haushaltskontrolle|Verfassung|Verfassung	Steuerwesen
2017-09-20	Museum	Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Tiermedizin|Tierschutz|Vereinsleben|Versammlungsfreiheit|Forschung und geistiges Eigentum|soziale Sicherheit|Wissenschaften|Frau|Gesundheit|Gleichbehandlung|Steuerwesen|Gesundheit|Tabak|Steuerwesen|Beschäftigung und Arbeitsbedingungen|junger Mensch|Steuerwesen|Tourismus|Steuerwesen|Tourismus	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Wasser|Wasserbewirtschaftung|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Parlamentsdebatte|Politische Partei|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Steuerwesen|Straßenverkehr|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Museum|Beschäftigung und Arbeitsbedingungen|junger Mensch|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit	Museum|Tiermedizin|Tierschutz|Strafrecht|Steuerwesen|Gerichtswesen|Verteidigung	Bürgerliches Recht|Arbeitsrecht|Bürgerliches Recht|Verfassung|Wohnungspolitik|ausländischer Staatsangehöriger|Flüchtling|Grenze|öffentliche Sicherheit|Arbeitsrecht|namentliche Abstimmung|Wohnungspolitik|Opferhilfe|soziale Sicherheit|Behinderter|Arbeitsrecht|Arbeitsrecht|Familienleistungsausgleich|Versicherungswesen|ethnische Gruppe|Wohnungspolitik|Politische Partei|Finanzwesen|Museum|Bürgerliches Recht|Tiermedizin|Tierschutz|Steuerwesen		ausländischer Staatsangehöriger|Flüchtling|Grenze|öffentliche Sicherheit|Opferhilfe|soziale Sicherheit|Versicherungswesen|Tiermedizin|Tierschutz
2017-10-03		Handel|Industrie|Umwelt|Unternehmen und Wettbewerb	Handel|Industrie|Umwelt|Unternehmen und Wettbewerb	Handel|Industrie|Umwelt|Unternehmen und Wettbewerb	Handel|Industrie|Umwelt|Unternehmen und Wettbewerb		Handel|Industrie|Umwelt|Unternehmen und Wettbewerb
2017-10-04	ausländischer Staatsangehöriger|Europäische Union	Familie|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|ausländischer Staatsangehöriger|Flüchtling|Tiermedizin|Tierschutz|Vereinsleben|Versammlungsfreiheit|ausländischer Staatsangehöriger|Flüchtling|Strafrecht	Bildung|Organisation des Unterrichtswesens|Parlamentsdebatte|Gerichtswesen|Strafrecht|Bauindustrie und öffentliches Bauwesen|Baupolitik|öffentliche Verwaltung|öffentlicher Dienst|öffentliches Eigentum|Gesundheit|Strafrecht|Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens|Verfassung|Bildung|Familie|Organisation des Unterrichtswesens	Familienleistungsausgleich		Verfassung|Familie|Öffentliche Finanzen und Haushaltspolitik|Verfassung
2017-10-12	Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb	Bürgerliches Recht|Familie|Familienleistungsausgleich|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Steuerwesen|Tourismus|Exekutive|Misstrauensantrag	Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Handel|Industrie|öffentliche Verwaltung|öffentlicher Dienst|Unternehmen und Wettbewerb|Arbeitsrecht	Bürgerliches Recht|Statistik	Einkommen|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltung und Entlohnung des Personals|soziale Sicherheit|Bildung|Familie|Organisation des Unterrichtswesens|Wohnungspolitik|Bürgerliches Recht|Sozialpolitik		Bürgerliches Recht|junger Mensch|Arbeitsrecht
2017-10-13			Wohnungspolitik				
